variable,valor,frecuencia
MSZoning,RL,1151
MSZoning,RM,218
MSZoning,FV,65
MSZoning,RH,16
MSZoning,Otro,10
LotShape,Reg,925
LotShape,IR1,484
LotShape,IR2,41
LotShape,Otro,10
LotConfig,Inside,1052
LotConfig,Corner,263
LotConfig,CulDSac,94
LotConfig,FR2,47
LotConfig,Otro,4
Neighborhood,NAmes,225
Neighborhood,CollgCr,150
Neighborhood,OldTown,113
Neighborhood,Edwards,100
Neighborhood,Somerst,86
Neighborhood,Gilbert,79
Neighborhood,NridgHt,77
Neighborhood,Sawyer,74
Neighborhood,NWAmes,73
Neighborhood,SawyerW,59
Neighborhood,BrkSide,58
Neighborhood,Crawfor,51
Neighborhood,Mitchel,49
Neighborhood,NoRidge,41
Neighborhood,Timber,38
Neighborhood,IDOTRR,37
Neighborhood,ClearCr,28
Neighborhood,SWISU,25
Neighborhood,StoneBr,25
Neighborhood,Otro,22
Neighborhood,MeadowV,17
Neighborhood,Blmngtn,17
Neighborhood,BrDale,16
BldgType,1Fam,1220
BldgType,TwnhsE,114
BldgType,Duplex,52
BldgType,Twnhs,43
BldgType,2fmCon,31
HouseStyle,1Story,726
HouseStyle,2Story,445
HouseStyle,1.5Fin,154
HouseStyle,SLvl,65
HouseStyle,SFoyer,37
HouseStyle,Otro,33
RoofStyle,Gable,1141
RoofStyle,Hip,286
RoofStyle,Otro,33
Exterior1st,VinylSd,515
Exterior1st,HdBoard,222
Exterior1st,MetalSd,220
Exterior1st,Wd Sdng,206
Exterior1st,Plywood,108
Exterior1st,CemntBd,61
Exterior1st,BrkFace,50
Exterior1st,WdShing,26
Exterior1st,Stucco,25
Exterior1st,AsbShng,20
Exterior1st,Otro,7
Exterior2nd,VinylSd,504
Exterior2nd,MetalSd,214
Exterior2nd,HdBoard,207
Exterior2nd,Wd Sdng,197
Exterior2nd,Plywood,142
Exterior2nd,CmentBd,60
Exterior2nd,Wd Shng,38
Exterior2nd,Otro,27
Exterior2nd,Stucco,26
Exterior2nd,BrkFace,25
Exterior2nd,AsbShng,20
MasVnrType,BrkFace,445
MasVnrType,Stone,128
MasVnrType,BrkCmn,15
ExterQual,TA,906
ExterQual,Gd,488
ExterQual,Ex,52
ExterQual,Otro,14
Foundation,PConc,647
Foundation,CBlock,634
Foundation,BrkTil,146
Foundation,Slab,24
Foundation,Otro,9
BsmtQual,TA,649
BsmtQual,Gd,618
BsmtQual,Ex,121
BsmtQual,Fa,35
BsmtExposure,No,953
BsmtExposure,Av,221
BsmtExposure,Gd,134
BsmtExposure,Mn,114
BsmtFinType1,Unf,430
BsmtFinType1,GLQ,418
BsmtFinType1,ALQ,220
BsmtFinType1,BLQ,148
BsmtFinType1,Rec,133
BsmtFinType1,LwQ,74
HeatingQC,Ex,741
HeatingQC,TA,428
HeatingQC,Gd,241
HeatingQC,Fa,49
HeatingQC,Otro,1
KitchenQual,TA,735
KitchenQual,Gd,586
KitchenQual,Ex,100
KitchenQual,Fa,39
FireplaceQu,Gd,380
FireplaceQu,TA,313
FireplaceQu,Fa,33
FireplaceQu,Ex,24
FireplaceQu,Po,20
GarageType,Attchd,870
GarageType,Detchd,387
GarageType,BuiltIn,88
GarageType,Basment,19
GarageType,Otro,15
GarageFinish,Unf,605
GarageFinish,RFn,422
GarageFinish,Fin,352
Fence,MnPrv,157
Fence,GdPrv,59
Fence,GdWo,54
Fence,MnWw,11
SaleCondition,Normal,1198
SaleCondition,Partial,125
SaleCondition,Abnorml,101
SaleCondition,Family,20
SaleCondition,Otro,16
