Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SaleCondition,SalePrice
1,60,RL,65.0,8450.0,Reg,Inside,CollgCr,1Fam,2Story,7,5,2003.0,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,PConc,Gd,No,GLQ,706.0,150.0,856.0,Ex,856.0,854.0,1710.0,1,2,1,3,Gd,8,0,NA,Attchd,2003.0,RFn,2,548.0,0.0,61.0,NA,2,2008,Normal,208500
2,20,RL,80.0,9600.0,Reg,FR2,Otro,1Fam,1Story,6,8,1976.0,1976,Gable,MetalSd,MetalSd,NA,0.0,TA,CBlock,Gd,Gd,ALQ,978.0,284.0,1262.0,Ex,1262.0,0.0,1262.0,0,2,0,3,TA,6,1,TA,Attchd,1976.0,RFn,2,460.0,298.0,0.0,NA,5,2007,Normal,181500
3,60,RL,68.0,11250.0,IR1,Inside,CollgCr,1Fam,2Story,7,5,2001.0,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,PConc,Gd,Mn,GLQ,486.0,434.0,920.0,Ex,920.0,866.0,1786.0,1,2,1,3,Gd,6,1,TA,Attchd,2001.0,RFn,2,608.0,0.0,42.0,NA,9,2008,Normal,223500
4,70,RL,60.0,9550.0,IR1,Corner,Crawfor,1Fam,2Story,7,5,1915.0,1970,Gable,Wd Sdng,Wd Shng,NA,0.0,TA,BrkTil,TA,No,ALQ,216.0,540.0,756.0,Gd,961.0,756.0,1717.0,1,1,0,3,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642.0,0.0,35.0,NA,2,2006,Abnorml,140000
5,60,RL,84.0,14260.0,IR1,FR2,NoRidge,1Fam,2Story,8,5,2000.0,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,PConc,Gd,Av,GLQ,655.0,490.0,1145.0,Ex,1145.0,1053.0,2198.0,1,2,1,4,Gd,9,1,TA,Attchd,2000.0,RFn,3,836.0,192.0,84.0,NA,12,2008,Normal,250000
6,50,RL,85.0,14115.0,IR1,Inside,Mitchel,1Fam,1.5Fin,5,5,1993.0,1995,Gable,VinylSd,VinylSd,NA,0.0,TA,Otro,Gd,No,GLQ,732.0,64.0,796.0,Ex,796.0,566.0,1362.0,1,1,1,1,TA,5,0,NA,Attchd,1993.0,Unf,2,480.0,40.0,30.0,MnPrv,10,2009,Normal,143000
7,20,RL,75.0,10084.0,Reg,Inside,Somerst,1Fam,1Story,8,5,2004.0,2005,Gable,VinylSd,VinylSd,Stone,186.0,Gd,PConc,Ex,Av,GLQ,1369.0,317.0,1686.0,Ex,1694.0,0.0,1694.0,1,2,0,3,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636.0,255.0,57.0,NA,8,2007,Normal,307000
8,60,RL,NA,10382.0,IR1,Corner,NWAmes,1Fam,2Story,7,6,1973.0,1973,Gable,HdBoard,HdBoard,Stone,240.0,TA,CBlock,Gd,Mn,ALQ,859.0,216.0,1107.0,Ex,1107.0,983.0,2090.0,1,2,1,3,TA,7,2,TA,Attchd,1973.0,RFn,2,484.0,235.0,204.0,NA,11,2009,Normal,200000
9,50,RM,51.0,6120.0,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,1931.0,1950,Gable,BrkFace,Wd Shng,NA,0.0,TA,BrkTil,TA,No,Unf,0.0,952.0,952.0,Gd,1022.0,752.0,1774.0,0,2,0,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468.0,90.0,0.0,NA,4,2008,Abnorml,129900
10,190,RL,50.0,7420.0,Reg,Corner,BrkSide,2fmCon,Otro,5,6,1939.0,1950,Gable,MetalSd,MetalSd,NA,0.0,TA,BrkTil,TA,No,GLQ,851.0,140.0,991.0,Ex,1077.0,0.0,1077.0,1,1,0,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205.0,0.0,4.0,NA,1,2008,Normal,118000
