variable,valor,frecuencia
MSZoning,RL,1151
MSZoning,RM,218
MSZoning,FV,65
MSZoning,RH,16
MSZoning,C (all),10
Street,Pave,1454
Street,Grvl,6
Alley,Grvl,50
Alley,Pave,41
LotShape,Reg,925
LotShape,IR1,484
LotShape,IR2,41
LotShape,IR3,10
LandContour,Lvl,1311
LandContour,Bnk,63
LandContour,HLS,50
LandContour,Low,36
Utilities,AllPub,1459
Utilities,NoSeWa,1
LotConfig,Inside,1052
LotConfig,Corner,263
LotConfig,CulDSac,94
LotConfig,FR2,47
LotConfig,FR3,4
LandSlope,Gtl,1382
LandSlope,Mod,65
LandSlope,Sev,13
Neighborhood,NAmes,225
Neighborhood,CollgCr,150
Neighborhood,OldTown,113
Neighborhood,Edwards,100
Neighborhood,Somerst,86
Neighborhood,Gilbert,79
Neighborhood,NridgHt,77
Neighborhood,Sawyer,74
Neighborhood,NWAmes,73
Neighborhood,SawyerW,59
Neighborhood,BrkSide,58
Neighborhood,Crawfor,51
Neighborhood,Mitchel,49
Neighborhood,NoRidge,41
Neighborhood,Timber,38
Neighborhood,IDOTRR,37
Neighborhood,ClearCr,28
Neighborhood,SWISU,25
Neighborhood,StoneBr,25
Neighborhood,Blmngtn,17
Neighborhood,MeadowV,17
Neighborhood,BrDale,16
Neighborhood,Veenker,11
Neighborhood,NPkVill,9
Neighborhood,Blueste,2
Condition1,Norm,1260
Condition1,Feedr,81
Condition1,Artery,48
Condition1,RRAn,26
Condition1,PosN,19
Condition1,RRAe,11
Condition1,PosA,8
Condition1,RRNn,5
Condition1,RRNe,2
Condition2,Norm,1445
Condition2,Feedr,6
Condition2,Artery,2
Condition2,RRNn,2
Condition2,PosN,2
Condition2,PosA,1
Condition2,RRAn,1
Condition2,RRAe,1
BldgType,1Fam,1220
BldgType,TwnhsE,114
BldgType,Duplex,52
BldgType,Twnhs,43
BldgType,2fmCon,31
HouseStyle,1Story,726
HouseStyle,2Story,445
HouseStyle,1.5Fin,154
HouseStyle,SLvl,65
HouseStyle,SFoyer,37
HouseStyle,1.5Unf,14
HouseStyle,2.5Unf,11
HouseStyle,2.5Fin,8
RoofStyle,Gable,1141
RoofStyle,Hip,286
RoofStyle,Flat,13
RoofStyle,Gambrel,11
RoofStyle,Mansard,7
RoofStyle,Shed,2
RoofMatl,CompShg,1434
RoofMatl,Tar&Grv,11
RoofMatl,WdShngl,6
RoofMatl,WdShake,5
RoofMatl,Metal,1
RoofMatl,Membran,1
RoofMatl,Roll,1
RoofMatl,ClyTile,1
Exterior1st,VinylSd,515
Exterior1st,HdBoard,222
Exterior1st,MetalSd,220
Exterior1st,Wd Sdng,206
Exterior1st,Plywood,108
Exterior1st,CemntBd,61
Exterior1st,BrkFace,50
Exterior1st,WdShing,26
Exterior1st,Stucco,25
Exterior1st,AsbShng,20
Exterior1st,BrkComm,2
Exterior1st,Stone,2
Exterior1st,AsphShn,1
Exterior1st,ImStucc,1
Exterior1st,CBlock,1
Exterior2nd,VinylSd,504
Exterior2nd,MetalSd,214
Exterior2nd,HdBoard,207
Exterior2nd,Wd Sdng,197
Exterior2nd,Plywood,142
Exterior2nd,CmentBd,60
Exterior2nd,Wd Shng,38
Exterior2nd,Stucco,26
Exterior2nd,BrkFace,25
Exterior2nd,AsbShng,20
Exterior2nd,ImStucc,10
Exterior2nd,Brk Cmn,7
Exterior2nd,Stone,5
Exterior2nd,AsphShn,3
Exterior2nd,Other,1
Exterior2nd,CBlock,1
MasVnrType,BrkFace,445
MasVnrType,Stone,128
MasVnrType,BrkCmn,15
ExterQual,TA,906
ExterQual,Gd,488
ExterQual,Ex,52
ExterQual,Fa,14
ExterCond,TA,1282
ExterCond,Gd,146
ExterCond,Fa,28
ExterCond,Ex,3
ExterCond,Po,1
Foundation,PConc,647
Foundation,CBlock,634
Foundation,BrkTil,146
Foundation,Slab,24
Foundation,Stone,6
Foundation,Wood,3
BsmtQual,TA,649
BsmtQual,Gd,618
BsmtQual,Ex,121
BsmtQual,Fa,35
BsmtCond,TA,1311
BsmtCond,Gd,65
BsmtCond,Fa,45
BsmtCond,Po,2
BsmtExposure,No,953
BsmtExposure,Av,221
BsmtExposure,Gd,134
BsmtExposure,Mn,114
BsmtFinType1,Unf,430
BsmtFinType1,GLQ,418
BsmtFinType1,ALQ,220
BsmtFinType1,BLQ,148
BsmtFinType1,Rec,133
BsmtFinType1,LwQ,74
BsmtFinType2,Unf,1256
BsmtFinType2,Rec,54
BsmtFinType2,LwQ,46
BsmtFinType2,BLQ,33
BsmtFinType2,ALQ,19
BsmtFinType2,GLQ,14
Heating,GasA,1428
Heating,GasW,18
Heating,Grav,7
Heating,Wall,4
Heating,OthW,2
Heating,Floor,1
HeatingQC,Ex,741
HeatingQC,TA,428
HeatingQC,Gd,241
HeatingQC,Fa,49
HeatingQC,Po,1
CentralAir,Y,1365
CentralAir,N,95
Electrical,SBrkr,1334
Electrical,FuseA,94
Electrical,FuseF,27
Electrical,FuseP,3
Electrical,Mix,1
KitchenQual,TA,735
KitchenQual,Gd,586
KitchenQual,Ex,100
KitchenQual,Fa,39
Functional,Typ,1360
Functional,Min2,34
Functional,Min1,31
Functional,Mod,15
Functional,Maj1,14
Functional,Maj2,5
Functional,Sev,1
FireplaceQu,Gd,380
FireplaceQu,TA,313
FireplaceQu,Fa,33
FireplaceQu,Ex,24
FireplaceQu,Po,20
GarageType,Attchd,870
GarageType,Detchd,387
GarageType,BuiltIn,88
GarageType,Basment,19
GarageType,CarPort,9
GarageType,2Types,6
GarageFinish,Unf,605
GarageFinish,RFn,422
GarageFinish,Fin,352
GarageQual,TA,1311
GarageQual,Fa,48
GarageQual,Gd,14
GarageQual,Ex,3
GarageQual,Po,3
GarageCond,TA,1326
GarageCond,Fa,35
GarageCond,Gd,9
GarageCond,Po,7
GarageCond,Ex,2
PavedDrive,Y,1340
PavedDrive,N,90
PavedDrive,P,30
PoolQC,Gd,3
PoolQC,Ex,2
PoolQC,Fa,2
