variable,importancia
OverallQual,58.53%
GrLivArea,11.09%
TotalBsmtSF,4.03%
2ndFlrSF,3.55%
BsmtFinSF1,3.46%
1stFlrSF,2.72%
GarageCars,2.66%
LotArea,1.63%
GarageArea,1.55%
YearBuilt,1.22%
YearRemodAdd,1.04%
FullBath,0.83%
GarageYrBlt,0.81%
TotRmsAbvGrd,0.74%
LotFrontage,0.74%
OpenPorchSF,0.64%
MasVnrArea,0.62%
OverallCond,0.59%
WoodDeckSF,0.56%
BsmtUnfSF,0.56%
MoSold,0.45%
Fireplaces,0.43%
MSSubClass,0.31%
BedroomAbvGr,0.22%
YrSold,0.21%
HalfBath,0.16%
BsmtFullBath,0.12%
EnclosedPorch,0.11%
ScreenPorch,0.11%
BsmtFinSF2,0.10%
KitchenAbvGr,0.08%
3SsnPorch,0.04%
BsmtHalfBath,0.04%
PoolArea,0.02%
LowQualFinSF,0.01%
MiscVal,0.01%
